taxon	sequenceID	species	species_superorder	species_order	species_family	species_genus	gene_id	vertebrate_lineage	major_subclade	duplicate_type	duplicate_numeric_id	glycosylation_o1_present	glycosylation_o1_coverage	glycosylation_o2_present	glycosylation_o2_coverage
alignment/AL_TREE_IFNL_ROOT/member/fasta-refseqs/IFNL_Scyliorhinus	IFNL_Scyliorhinus	Scyliorhinus torazame	Unclassified	Carcharhiniformes	Scyliorhinidae	Scyliorhinus	IFNL	Chondrichthyes	-	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-refseqs/NM_001171763	NM_001171763	Xenopus tropicalis	Batrachia	Anura	Pipidae	Xenopus	IFNL	Anura	-	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-refseqs/NM_001276254	NM_001276254	Homo sapiens	Euarchontoglires	Primates	Hominidae	Homo	IFNL	Mammal	-	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-refseqs/NM_001310792	NM_001310792	Anas platyrhynchos	Neognathae	Anseriformes	Anatidae	Anas	IFNL	Aves	-	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-refseqs/NM_001346937	NM_001346937	Homo sapiens	Euarchontoglires	Primates	Hominidae	Homo	IFNL	Mammal	2	-	2	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-refseqs/XM_008173201	XM_008173201	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-refseqs/XM_014607441	XM_014607441	Alligator mississippiensis	Unclassified	Crocodylia	Alligatoridae	Alligator	IFNL	Crocodylia	-	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-refseqs/XM_025186888	XM_025186888	Pelodiscus sinensis	Unclassified	Testudines	Trionychidae	Pelodiscus	IFNL	Testudines	-	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-refseqs/XM_025202241	XM_025202241	Alligator sinensis	Unclassified	Crocodylia	Alligatoridae	Alligator	IFNL	Crocodylia	-	-	-	-	-	-	-
alignment/AL_TREE_IFNL_ROOT/member/ncbi-refseqs/XM_026688830	XM_026688830	Notechis scutatus	Lepidosauria	Squamata	Elapidae	Notechis	IFNL	Serpentes	-	-	-	-	-	-	-
